# NOSUB

EA	(a)(b)(c)	abc	(0,3)(0,1)(1,2)(2,3)
BEA	xxx		xxx	(0,3)
BEA	xxx		xx	NOMATCH

# mouthfuls

B	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	123456789987654321	(0,18)(0,1)(1,2)(2,3)(3,4)(4,5)(5,6)(6,7)(7,8)(8,9)
B	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	1234567890987654321	(0,19)(0,1)(1,2)(2,3)(3,4)(4,5)(5,6)(6,7)(7,8)(8,9)(9,10)
B5	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	123456789987654321	(0,18)(0,1)(1,2)(2,3)(3,4)
B5	\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\(.\)\9\8\7\6\5\4\3\2\1	1234567890987654321	(0,19)(0,1)(1,2)(2,3)(3,4)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	feb 6,	(0,6)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	2/7	(0,3)
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	2/60	NOMATCH
EA1	(^|[ (,;])((([Ff]eb[^ ]* *|0*2/|\* */?)0*[6-7]))([^0-9]|$)	feb 1,Feb 6	(5,11)
EA3	((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))	x	(0,1)(0,1)(0,1)
EA3	((((((((((((((((((((((((((((((x))))))))))))))))))))))))))))))*	xx	(0,2)(1,2)(1,2)
EA3	((((((((((((((((((((((((((((((x)))))))))))))))))))))))))))))|xx)	xx	(0,2)(0,2)
EA	a?(ab|ba)*	abababababababababababababababababababababababababababababababababababababababab	(0,80)(78,80)
EA	a?(ab|ba)*	ababababababababababababababababababababababababababababababababababababababababa	(0,81)(79,81)
EA	abaa|abbaa|abbbaa|abbbbaa	ababbabbbabbbabbbbabbbbaa	(18,25)
EA	abaa|abbaa|abbbaa|abbbbaa	ababbabbbabbbabbbbabaa	(18,22)
EA	aaac|aabc|abac|abbc|baac|babc|bbac|bbbc	baaabbbabac	(7,11)

# augmented re's

{E	a\!		aa!a		(0,4)	ERE negation not supported
A	&		a		(0,0)
A	a!		a		(0,0)
A	[abc]+&[bcd]*	abcd		(1,3)
A	[abc]*&[bcd]+	abcd		(1,3)
A	(a.*)!&(.+)	abb		(1,3)(?,?)(1,3)
A	xy(.*xy.*)!xy	xy.xx.yy.xy.xy	(0,11)
A	a\!		aa!a		(1,3)
E	a!		aa!a		(1,3)
E	a\!		aa!a		(0,4)
A	a!		aa!a		(0,4)
A	x!a*		NULL		(0,0)
A	((...|.....)*)!		aa		(0,2)
A	((...|.....)*)!		aaa		(0,2)
A	((...|.....)*)!		aaaa		(0,4)
A	((...|.....)*)!		aaaaa		(0,4)
A	((...|.....)*)!		aaaaaa		(0,4)
A	((...|.....)*)!		aaaaaaa		(0,7)
A	((...|.....)*)!		aaaaaaaa	(0,7)
A	((...|.....)*)!		aaaaaaaaa	(0,7)
A	((...)*(.....)*)!	aa		(0,2)
A	((...)*(.....)*)!	aaa		(0,2)
A	((...)*(.....)*)!	aaaa		(0,4)
A	((...)*(.....)*)!	aaaaa		(0,4)
A	((...)*(.....)*)!	aaaaaa		(0,4)
A	((...)*(.....)*)!	aaaaaaa		(0,7)
A	((...)*(.....)*)!	aaaaaaaa	(0,7)
A	((...)*(.....)*)!	aaaaaaaaa	(0,7)
}

# word boundaries

{BE	\<abc\>		abcd:abc:		(5,8)	\<...\> not supported
A	<abc>		abcd:abc:		(5,8)
BE	\<abc\>		abcd:abc		(5,8)
A	<abc>		abcd:abc		(5,8)
BE	\<abc\>		abc:abc			(0,3)
A	<abc>		abc:abc			(0,3)
BE	\<abc\>		:abc:abc		(1,4)
A	<abc>		:abc:abc		(1,4)

BE	\<abc\>		xabcd:abc:		(6,9)
A	<abc>		xabcd:abc:		(6,9)
BE	\<abc\>		xabcd:abc		(6,9)
A	<abc>		xabcd:abc		(6,9)
BE	\<abc\>		xabc:abc		(5,8)
A	<abc>		xabc:abc		(5,8)
BE	\<abc\>		:xabc:abc		(6,9)
A	<abc>		:xabc:abc		(6,9)
}

# shell patterns

S	?.c		axc			NOMATCH
S	?.c		a.c			(0,3)
S	a*.c		ab.c			(0,4)
S	*.c		a.c			(0,3)
S	?*.c		a.c			(0,3)
S	test?		testy			(0,5)
S	test*		test			(0,4)
S	tes*t		test			(0,4)
S	*test		test			(0,4)
S	t*s*t		test			(0,4)
S	t*s*t		tesseract		(0,9)
S	t?s?		test			(0,4)
S	?s*t		psyot			(0,5)
S	[a-z]s*t	asset			(0,5)
S	s[!gh]t		set			(0,3)
S	t[a-ce]st	test			(0,4)
S	tea[ea-c]up	teacup			(0,6)
S	[a-fh-z]*	jack			(0,4)
S	\i\**		i*hello			(0,7)
S	[a-z\\]		\			(0,1)
S	[a-z%_]		b			(0,1)
S	[\]]		]			(0,1)
S	\i?*		itch			(0,4)
S	\i?*		it			(0,2)
S	?*?*?t		test			(0,4)
S	?*?*?*?*	test			(0,4)
S	*\]*\**\?*\[	]this*is?atest[		(0,15)
S	[a-\\]*		at			(0,2)
S	[a-d\\-/]	c			(0,1)
S	*t?l*his	bright-land-hip-and-his	(0,23)
S	test		test			(0,4)
S	\		test			NOMATCH
S	tes\		test			NOMATCH
S	t*s*t		texxeract		NOMATCH
S	t?st		tst			NOMATCH
S	test?		test			NOMATCH
S	s[!e]t		set			NOMATCH
S	s[^e]t		set			(0,3)
S	[a-]*		atest			(0,5)
S	[a-fh-z]	jack			(0,1)
S	?*?*?t*?	test			NOMATCH
S	*?????		test			NOMATCH
S	*\		test			NOMATCH
S	*?*?t?		test			NOMATCH
S	t?		t			NOMATCH
S	??*t		step			NOMATCH

# anchored shell patterns

Sa	test		test			(0,4)
Sa	test		ttest			NOMATCH
Sa	test		testt			NOMATCH
Sa	test		ttestt			NOMATCH
Sl	test		test			(0,4)
Sl	test		ttest			NOMATCH
Sl	test		testt			(0,4)
Sl	test		ttestt			NOMATCH
Sr	test		test			(0,4)
Sr	test		ttest			(1,5)
Sr	test		testt			NOMATCH
Sr	test		ttestt			NOMATCH

# shell anomolies

S	[b-n-y]		acz			(1,2)
S	[b-n-y]		aoz			(1,2)
S	[y-b]		zya			(1,2)
S	[y-b]		zba			(1,2)
S	[y-b]		zxa			NOMATCH
S	[a-e]*[!t	eel			NOMATCH
S	[a-e]*[!t	eel[!t			(0,6)
S	[\		test			NOMATCH
S	[\		[\			(0,2)
S	\t[est		test			NOMATCH
S	?*[]		hello			NOMATCH
S	[]		]			NOMATCH
S	[]		[]			(0,2)
S	[		[			(0,1)
S	[\[-\]		[			NOMATCH
S	[\[-\]]		[			(0,1)
S	[\[-\]]		]			(0,1)
S	[a		atest			NOMATCH
S	[a		[a			(0,2)
S	[a-		atest			NOMATCH
S	[a-z		atest			NOMATCH
S	[a-fh-z		jack			NOMATCH
S	[a-fh-z\]	jack			NOMATCH
S	[a-e\		atest			NOMATCH
S	[a-\		atest			NOMATCH
S	[a-bd-\		atest			NOMATCH
S	(\		test			NOMATCH
S	(\		(\			(0,2)
S	\t(est		test			NOMATCH
S	?*()		hello			NOMATCH
S	()		)			NOMATCH
S	()		()			(0,2)
S	(		(			(0,1)
S	(\(-\)		(			NOMATCH
S	(a		atest			NOMATCH
S	(a		(a			(0,2)
S	(a-		atest			NOMATCH
S	(a-z		atest			NOMATCH
S	(a-fh-z		jack			NOMATCH
S	(a-fh-z\)	jack			NOMATCH
S	(a-e\		atest			NOMATCH
S	(a-\		atest			NOMATCH
S	(a-bd-\		atest			NOMATCH

# shell character classes

S	[a-z][0-9]		AZ90az90	(5,7)
Si	[a-z][0-9]		AZ90az90	(1,3)
S	[\z]			z\		(0,1)
S	[!a-z]			a@Z`{z		(1,2)
S	[$[:xdigit:].,]		gfa$1,234.AFG	(1,2)
S	[---]			a-b		(1,2)
S	[!-]			--a		(2,3)
S	[a-]			--a		(0,1)
S	[a-m-][a-m-]		--amoma--	(0,2)
S	[b-m-y][b-m-y]		-abcmxyz-	(2,4)
S	[c-m-b][c-m-b]		-abcmn-		(2,4)

S	[z-a]			bcaz		(2,3)
S	[!]			a		NOMATCH
S	[!]			!		NOMATCH
S	[!abc			[!abc		(0,5)
S	[A-Z-a]			cba		(2,3)
S	[a-m-z]			nz		(0,1)

# augmented shell patterns

K	a@()b			ab		(0,2)(1,1)
K	*(abc)			abcabc		(0,6)(0,6)
K	!(a)			a		(0,0)(0,0)
